Date,AAPL_LSTM,AAPL_BiLSTM,AAPL_RNN,AAPL_XGB,MSFT_LSTM,MSFT_BiLSTM,MSFT_RNN,MSFT_XGB,GOOGL_LSTM,GOOGL_BiLSTM,GOOGL_RNN,GOOGL_XGB,AMZN_LSTM,AMZN_BiLSTM,AMZN_RNN,AMZN_XGB,NVDA_LSTM,NVDA_BiLSTM,NVDA_RNN,NVDA_XGB,TSLA_LSTM,TSLA_BiLSTM,TSLA_RNN,TSLA_XGB,META_LSTM,META_BiLSTM,META_RNN,META_XGB,JPM_LSTM,JPM_BiLSTM,JPM_RNN,JPM_XGB,V_LSTM,V_BiLSTM,V_RNN,V_XGB,JNJ_LSTM,JNJ_BiLSTM,JNJ_RNN,JNJ_XGB,BTC-USD_LSTM,BTC-USD_BiLSTM,BTC-USD_RNN,BTC-USD_XGB,XRP-USD_LSTM,XRP-USD_BiLSTM,XRP-USD_RNN,XRP-USD_XGB,ETH-USD_LSTM,ETH-USD_BiLSTM,ETH-USD_RNN,ETH-USD_XGB,GC=F_LSTM,GC=F_BiLSTM,GC=F_RNN,GC=F_XGB,SI=F_LSTM,SI=F_BiLSTM,SI=F_RNN,SI=F_XGB
2026-04-10,228.7228,249.6976,183.6024,169.4358,371.7065,360.2234,319.3118,437.5095,302.0632,302.6165,165.6207,175.4595,207.7948,204.5552,186.5464,174.594,173.8153,187.6323,129.2488,129.6492,383.1767,370.78,320.3901,242.2152,567.2274,549.6664,535.7119,429.2856,297.0983,273.2108,197.0855,191.3559,298.6804,300.2064,274.1241,265.4939,200.142,227.9799,161.6546,146.2565,71168.5938,68024.6719,67464.0938,65942.0938,1.4521,1.47,1.1398,0.9289,1646.776,2499.8506,1704.2354,2276.9661,4833.4487,4361.6641,2381.8989,2291.8928,52.8722,48.45,27.8421,23.7662
2026-04-13,227.4062,249.317,181.658,169.2852,371.7231,359.4018,319.5175,438.3172,303.2368,302.8815,161.0972,175.432,207.7183,203.7707,186.2845,173.2097,173.6556,187.9944,128.6705,129.6492,383.5249,370.5212,320.4297,235.1163,566.7957,547.2519,534.2977,429.1967,297.454,272.3294,194.7787,191.3632,298.1542,299.6759,274.3256,265.45,198.0766,227.5679,160.1242,146.5885,71336.8438,67882.7422,66301.9922,65256.7852,1.4562,1.4795,1.1262,0.916,1604.6157,2538.2051,1665.7246,2273.8667,4847.1357,4357.7266,2340.9951,2291.2871,52.0411,47.6678,28.4317,23.8379
2026-04-14,226.1193,248.8753,181.2801,169.3045,371.7237,358.6674,320.3096,438.8221,304.3186,303.1592,157.9334,174.9184,207.6398,202.918,186.457,170.6456,173.4999,188.218,129.5603,129.6492,383.8813,370.3083,315.3891,229.7102,566.3415,545.0421,524.9388,428.8438,297.796,271.4569,192.7504,191.3436,297.6346,299.1451,273.6082,265.6945,196.1479,227.1926,159.2186,146.4699,71505.7344,67748.6484,66066.5703,64707.4102,1.46,1.4888,1.1125,0.9418,1562.4642,2576.8257,1655.2377,2299.8516,4859.1636,4355.1499,2299.9968,2291.1267,51.2676,46.9851,28.561,23.8482
2026-04-15,224.8635,248.3904,180.0798,170.2355,371.7079,358.0244,318.8395,437.9007,305.311,303.4501,154.0365,174.9458,207.5603,202.031,185.788,168.9694,173.3475,188.4534,128.5246,129.6492,384.2424,370.1671,312.4027,226.8989,565.8676,543.0809,519.1207,432.0648,298.126,270.5957,192.2248,191.3363,297.123,298.5904,273.0544,265.7359,194.3568,226.8746,159.277,145.9097,71674.5703,67603.3984,66940.25,64812.082,1.4638,1.4979,1.1033,0.9399,1522.3135,2615.7109,1601.7578,2315.3203,4870.2788,4352.6221,2288.0891,2294.5293,50.5479,46.3591,29.3806,24.0315
2026-04-16,223.6394,247.9597,178.3835,170.6415,371.6769,357.5196,311.584,436.1562,306.2202,303.7668,154.0514,175.4595,207.4804,201.164,185.8108,168.4269,173.1979,188.9523,129.3279,129.6492,384.6056,370.2099,312.1919,226.7994,565.3784,541.3381,527.0446,436.9546,298.4453,269.7965,191.5863,191.497,296.6199,298.0662,272.9535,265.7968,192.7005,226.6121,159.9215,145.7725,71842.8906,67455.1172,66436.0547,64249.9297,1.4676,1.5066,1.0893,0.9377,1482.6398,2654.8267,1543.4285,2289.1187,4881.1089,4350.4927,2298.0476,2296.24,49.8789,45.8101,24.7215,24.0164
2026-04-17,222.4469,247.524,177.5792,170.616,371.6324,357.143,313.2224,436.8081,307.0549,304.0429,152.324,175.432,207.4008,200.3473,186.1903,166.6738,173.0506,189.234,129.5363,129.6492,384.9688,370.2834,312.2812,226.7146,564.8785,539.6406,527.419,450.9679,298.7549,269.0757,188.7334,191.3862,296.1254,297.5571,272.9098,265.5656,191.1736,226.4032,158.3649,145.771,72010.2969,67315.8359,66815.4453,63256.2227,1.4714,1.5151,1.0803,0.9302,1443.7849,2694.5461,1504.2625,2274.1963,4892.1465,4348.5195,2291.0315,2296.0391,49.2553,45.3038,27.2686,24.0003
2026-04-20,221.2857,247.1019,177.32,170.346,371.5764,356.7841,309.6252,436.7546,307.8243,304.2961,151.6096,174.9184,207.3222,199.6084,186.3643,166.3449,172.9055,189.4273,130.0819,129.6492,385.3306,370.2946,311.289,227.7145,564.3724,537.9149,522.4451,450.7564,299.0555,268.3931,188.0486,191.3881,295.6391,297.0417,272.1812,265.1598,189.7694,226.2397,159.6815,145.7141,72176.5156,67193.7734,66443.5547,62612.8516,1.4753,1.5234,1.0695,0.9158,1405.7988,2734.7878,1476.252,2311.1782,4903.7461,4346.4536,2308.7354,2297.3711,48.6727,44.8094,26.0077,24.0778
2026-04-21,220.155,246.7246,176.2605,170.316,371.511,356.3691,315.2439,435.3933,308.5386,304.5384,148.9202,174.9458,207.2448,198.9729,186.5861,163.0625,172.7626,189.4822,130.3305,129.6492,385.6901,370.2844,309.3331,228.3192,563.864,536.2172,516.0488,453.524,299.3478,267.7991,186.7397,191.5707,295.1616,296.5383,270.2353,265.1557,188.48,226.1109,159.7305,145.3568,72341.3203,67082.2344,66138.4062,62347.7148,1.4792,1.5317,1.0701,0.895,1368.6337,2775.0762,1432.0819,2329.3809,4916.1343,4343.7563,2338.5593,2299.5574,48.1269,44.2775,28.5278,24.109
2026-04-22,219.0539,246.3189,175.9951,170.493,371.4379,355.8727,313.1115,435.1097,309.2073,304.731,147.7053,175.4595,207.169,198.4617,185.5603,161.9795,172.6218,189.5417,129.4922,129.6492,386.0461,370.3137,308.6021,229.2479,563.3563,534.5222,515.4438,463.9322,299.632,267.2434,185.3156,191.5627,294.6951,296.0049,269.4935,265.1866,187.295,226.015,160.7342,144.8715,72504.5391,66949.5156,66445.9062,62164.9258,1.4831,1.5399,1.0601,0.9023,1332.219,2814.9675,1360.2729,2292.7039,4929.4248,4340.5737,2359.4055,2300.5322,47.6142,43.7614,28.4289,23.987
2026-04-23,217.9817,245.9188,175.7014,170.3939,371.3589,355.2522,304.8042,434.4601,309.8391,304.8865,146.6505,175.432,207.0949,198.0753,185.4532,159.5226,172.4831,189.5022,129.0283,129.6492,386.398,370.3395,308.4617,230.0618,562.8519,532.811,522.4602,464.3966,299.9085,266.753,184.97,191.4417,294.236,295.5286,269.7291,265.212,186.2057,225.9357,159.057,144.6715,72666.0156,66804.9766,66614.2578,61580.0391,1.4869,1.5476,1.061,0.9032,1296.5205,2854.752,1324.1831,2272.3906,4943.6406,4335.2114,2375.5959,2301.3711,47.131,43.191,30.4939,24.0484
